gene	ISV	WSV	pv	pv.BH	pv.Bonf
ACTA2	0.835177152088398	0.164822847911602	9.17164756948132e-24	8.5449183189001e-22	1.69189382714222e-19
ACTB	0.656847341343907	0.343152658656093	5.71089307910652e-09	5.11402158399408e-08	0.000105348844630278
ACTBL2	0.359471098022071	0.640528901977929	0.467102936128517	0.50754832200994	1
ACTC1	0.442035812827792	0.557964187172208	0.0503310676763888	0.0776691655869453	1
ACTG1	0.67094656516618	0.32905343483382	1.00812587909584e-09	1.03661639307029e-08	1.8596898091681e-05
ACTG1P1	0.458098576392768	0.541901423607232	0.0262453187855212	0.045243191817261	1
ACTG2	0.429135573236667	0.570864426763334	0.0804689939310646	0.114723821859985	1
ACTL6A	0.453626234406836	0.546373765593165	0.0317006324008022	0.0528735593035803	1
ACTL6B	0.382752838711672	0.617247161288328	0.298217057615989	0.345792322700493	1
ACTL7A	0.468417342378567	0.531582657621433	0.0165963604110397	0.0307004365708499	1
ACTL7B	0.440789258975202	0.559210741024798	0.0527747431708721	0.0808181709507785	1
ACTL8	0.441483344400783	0.558516655599217	0.0514026388599709	0.0790252920284927	1
ACTL9	0.485834748304716	0.514165251695284	0.00711872045709693	0.014897224761437	1
ACTN1	0.80721858925487	0.19278141074513	2.18803217721327e-20	1.23056797478821e-18	4.03626295730532e-16
ACTN2	0.483587835799184	0.516412164200816	0.00798165597910548	0.0164126193118447	1
ACTN3	0.411740556153554	0.588259443846447	0.140743809578105	0.183574988000233	1
ACTN4	0.690342520844397	0.309657479155603	7.67466227226766e-11	9.57878856133433e-10	1.41574494936521e-06
ACTR10	0.502053935801514	0.497946064198487	0.00297406147245364	0.00706900038427424	1
ACTR1A	0.48717075793845	0.51282924206155	0.00664558917776389	0.014045735971839	1
ACTR1B	0.505516823377853	0.494483176622147	0.00244184558821797	0.00597251731183464	1
ACTR2	0.682801822693386	0.317198177306614	2.14654125754564e-10	2.47947693036596e-09	3.95972465779445e-06
ACTR3	0.443884986600818	0.556115013399182	0.0468743945760559	0.0732169311383999	1
ACTR3B	0.47550927715343	0.52449072284657	0.0118899051695013	0.0231217668840175	1
ACTR3C	0.368645909620124	0.631354090379876	0.397582769581855	0.441607017731002	1
ACTR5	0.66104493687177	0.338955063128231	3.4472362636529e-09	3.21980594205595e-08	6.3591167355605e-05
ACTR6	0.403411846482855	0.596588153517145	0.17864306775227	0.224270360067111	1
ACTR8	0.597315003325529	0.402684996674471	2.86618286177291e-06	1.5007798822346e-05	0.0528724752511249
ACTRT1	0.373247891792214	0.626752108207786	0.363936305433999	0.409386732504481	1
ACTRT2	0.430932963482896	0.569067036517104	0.0755892360695351	0.10895410515508	1
ACVR1	0.645660932380059	0.354339067619942	2.09441219186614e-08	1.6864086295659e-07	0.000386356217033547
ACVR1B	0.524779510695441	0.475220489304559	0.000759160495525736	0.00217558391501682	1
ACVR1C	0.676835067778659	0.323164932221341	4.72486151096004e-10	5.15127188491016e-09	8.71595202926799e-06
ACVR2A	0.676789221842364	0.323210778157636	4.75319715359578e-10	5.17604651076631e-09	8.76822278923813e-06
ACVR2B	0.521571809801006	0.478428190198994	0.000930104546425832	0.00260635554730629	1
ACVRL1	0.500411174958808	0.499588825041192	0.00326128232060559	0.007653081664955	1
ACY3	0.534613239756041	0.465386760243959	0.000398570090750933	0.00124217308060187	1
ACYP1	0.426861786910502	0.573138213089498	0.0869830619457649	0.122346412946259	1
ACYP2	0.535105180278646	0.464894819721354	0.000385591835843552	0.00120723228034725	1
ADA	0.60249064084852	0.39750935915148	1.77989091067303e-06	9.69115927661905e-06	0.0328336476291853
ADAD1	0.446890695695767	0.553109304304233	0.0416674144017576	0.0664759780885852	1
